PropertyOrGLLossesInLast3Years,LeadOrMoldIssues,TranBackDt,OccupancyTypeCat,ConstructionTypeCat,TotalSquareFeet,CommercialSquareFeet,YearBuilt,NumberOfStories,PercentageOccupied,AnyBuildingViolations,Mercantile,RenovationGutRehabEverDone,BuildingLimit,RentLimit,OnboardResp
0,0,0,2,1,2484,0,1901,2,100,0,0,0,750000,50000,1
0,0,0,2,1,3120,1030,1901,3,100,0,1,0,750000,200000,1
0,0,0,3,1,3298,0,1970,2,100,0,0,0,750000,50000,1
0,0,0,3,1,3000,0,1910,2,100,0,0,0,756000,30000,1
0,0,0,2,1,4200,1800,1931,3,100,0,1,0,756000,60000,1
0,0,0,2,3,5317,1425,1920,4,100,0,1,0,757875,150000,1
1,0,1,2,3,5317,1425,1920,4,100,0,1,0,757875,150000,0
0,0,0,2,1,4125,0,1903,3,100,0,0,0,759575,87000,1
0,0,0,2,1,2805,0,1901,3,100,0,0,0,762484,50000,1
0,0,0,2,1,2680,0,1950,3,100,0,0,0,764000,100000,1
0,0,0,3,1,2550,0,1901,2,70,0,0,0,765000,50000,1
0,0,0,3,1,3800,0,1900,4,100,0,0,0,765000,70000,1
0,0,0,3,1,3360,1120,1930,3,100,0,1,0,770000,50000,1
0,0,0,2,1,2860,0,1960,2,100,0,0,0,770000,50000,1
0,0,0,3,1,3376,0,1910,3,100,0,0,0,770000,77000,1
0,0,0,2,1,3600,1200,1928,3,100,0,1,0,771000,100000,1
0,0,0,2,1,2280,1140,1955,2,100,0,1,0,775000,500000,1
0,0,0,2,1,3240,0,1910,3,100,0,0,0,775000,120000,1
0,0,0,2,1,4432,2012,1930,3,100,0,1,0,777000,72000,1
0,0,0,3,1,4704,0,1998,4,100,0,0,0,779000,100000,1
0,0,0,2,1,3135,1000,1945,3,100,0,1,0,780000,125000,1
0,0,1,2,1,3420,0,1931,4,100,0,0,0,780000,72000,0
0,0,0,3,1,3900,0,1925,3,100,0,0,0,780000,18000,1
0,0,0,3,1,2180,0,1920,2,100,0,0,0,786000,45000,1
0,0,1,2,1,2600,0,1945,2,100,0,0,0,790000,92000,0
1,0,1,2,1,2988,1000,1930,2,100,0,1,0,794000,79000,0
0,0,0,3,1,3008,0,1920,2,100,0,0,0,800000,30000,1
0,0,0,3,1,3268,0,1922,2,100,0,0,0,800000,50000,1
0,0,0,2,1,2700,0,1901,3,100,0,0,0,800000,75000,1
0,0,0,3,1,3311,0,1925,3,100,0,0,1,800000,150000,1
0,0,0,2,1,3000,0,1910,2,100,0,0,0,800000,120000,1
0,0,0,2,1,2160,0,1950,2,100,0,0,0,800000,36000,1
1,0,0,3,1,3000,0,1899,3,100,0,0,0,800000,80000,0
0,0,0,2,1,2800,0,1928,4,100,0,0,0,800000,80000,1
0,0,0,2,1,3018,1000,1925,3,100,0,1,0,800000,92000,1
0,0,0,3,1,3600,0,2016,3,100,0,0,0,800000,150000,1
0,0,0,3,1,2000,0,1905,2,100,0,0,0,800000,150000,1
0,0,0,2,1,3025,0,1955,2,100,0,0,0,800000,72000,1
0,0,1,4,1,4520,0,2012,3,100,0,0,1,800000,22500,0
